The Wolf of Wall Street (English),1444778129,9781444778120,Rs. 259,528 Pages,,Hodder & Stoughton,2013,Paperback,English
Breakout Nations: In Pursuit of the Next Economic Miracles (English),0241957818,9780241957813,Rs. 499,,,Penguin Books Ltd,,Paperback,English
Poor Economics: Rethinking Poverty & the Ways to End it (English),8184002807,9788184002805,Rs. 324,464 Pages,,Vintage Books/ Random House India,2013,Paperback,English
The Game Changers : 20 Extraordinary Success Stories Of Entrepreneurs From Iit Kharagpur (English),8184002734,9788184002737,Rs. 194,262 Pages,,Random House India,2012,Paperback,English
A Better India: A Better World (English),067008283X,9780670082834,Rs. 450,320 Pages,,Penguin Publishing Group,2009 April,Hardcover,English
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,0141031484,9780141031484,Rs. 424,,,Penguin Books Ltd,2007,Paperback,
It Happened In India (English),8129111373,9788129111371,Rs. 233,280 Pages,,Rupa Publication,2007,Paperback,English
The Billionaire's Apprentice: The Rise of the Indian-American Elite and the Fall of the Galleon Hedge Fund : The Rise of the Indian - American Elite and the Fall of the Galleon Hedge Fund (English),9350097362,9789350097366,Rs. 324,512 Pages,,Hachette India,2013 June,Paperback,English
"Superfreakonomics : Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance (English)",0061932922,9780061932922,Rs. 259,288 Pages,"Stephen J. Dubner, Steven D. Levitt",HarperCollins Publisher,2010,Paperback,English
"Superfreakonomics : Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance (English)",0061941220,9780061941221,"Rs. 1,299",304 Pages,"Steven D. Levitt, Stephen J. Dubner",William Morrow & Company,2010 October,Hardcover,English
ReWork,0091929784,9780091929787,Rs. 422,,,Ebury Publishing,2010,Paperback,
"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers (English) 1st Edition",8126533676,9788126533671,Rs. 454,288 Pages,Yves Pigneur Alexander Osterwalder,Wiley India Pvt. Ltd.,2011,Paperback,English
